도서관코드,도서관_부지면적,도서관_건물_연면적,도서관_서비스_제공면적,총좌석수,어린이_열람석,노인및장애인_열람석
2030111007,538.2,321,283.8,75,48,0
2030111012,502.2,750.06,575.66,103,98,0
2060141162,7160,3078,2218,136,60,0
2060111000,30145,2278.75,1348.42,474,98,7
2060111042,486,965.95,682.67,121,33,0
2060125007,1488,2706,1281,515,66,8
2060141284,3212,4454.17,1778.93,287,122,2
2060111092,1914.59,2678,1006.99,95,25,4
2060123011,1530,475.2,351.3,92,30,5
2060143024,2201,1331,1030.4,160,40,20
2060141023,12169,3351,1874,508,36,1
2060147006,3000,308,280.5,12,0,0
2060143026,1626,1140,563.4,114,44,2
2060111067,303.33,521,398,74,13,1
2060111018,1305,886.43,798.53,155,74,7
2060823014,14760.8,1665.28,1029,283,70,1
2060123028,1760.2,2998.31,906.71,250,85,2
2060147038,9500,8273.27,4611.58,740,60,0
2060144001,2825.2,2741.4,1271,249,35,0
2060141130,1650,1347,807,200,21,4
2060142020,2990,917,378.58,120,30,0
2060125023,808.8,2029.25,640.93,166,37,2
2060141282,18553,2621,1418,217,70,1
2060141034,5027,9965.63,4873,909,108,13
2060141201,1022,958,401,100,36,4
2060121028,5714,1045.92,961.35,160,70,2
2060141096,7000,8547,2322.63,568,125,6
2060125022,2486.4,916.11,332.7,158,25,2
2060125011,2967,1496.13,867.46,115,33,8
20601110046,1508.53,923.67,799,194,62,3
2060121019,532,1772.63,1141.97,419,96,1
2060141265,6987,481,332,63,35,0
2060121027,3447,4787.78,1986.7,241,84,3
2060121008,8025,8466,3156,731,84,2
2060121009,3370,2513.75,1291.45,352,70,16
2060123018,215.3,452.66,404.08,96,50,4
2060121002,7033,5259,2505,516,140,3
2060142039,1058,962.18,503.44,126,22,1
2060131014,582,954.01,564.89,174,45,0
2060141217,20322,3382,2123,341,60,9
2060123022,179.22,378.14,178.4,60,20,0
2060148011,1702,1054,548.45,222,40,0
2060125019,7523,3355,2010.49,259,56,6
2060141179,190,285,164,53,24,0
2060111013,1767,573.62,444.44,129,29,2
2060141203,4736,1910,991,205,46,1
2060121013,1657,3521.6,1945,419,44,8
2060147037,8121,1333,596,212,87,5
2060147007,926,668.7,408.78,54,24,0
2060111033,727.8,1945.86,1722.89,351,57,1
2060141199,2091,997.25,564,99,8,0
2060141240,9141,995,762,108,56,1
2060111014,6070.9,570.09,539.73,139,61,1
2060141160,1499,1370,1300,125,53,3
2060141079,949,1826,1130,140,40,0
2060121003,15343,2462,1178.84,183,67,5
2050149004,6325,2077.46,1422.95,155,27,2
2060148008,14793,3622,1972,267,26,1
2060123009,1650,1601.4,1417.98,246,32,14
2060141289,4083,3780,1308,227,57,1
2060125014,999.9,2367,699,340,60,10
2060111077,947,2281,1273.04,448,161,11
2060121004,2300,3315,1234,434,112,1
2060141274,4145,1612,536,109,52,8
2030141007,26541,2002,1266.92,255,50,3
2060121011,678,930,630.2,150,13,1
2060131011,3787,2103.77,1100.42,220,100,1
2060143008,1311.6,1411.59,1311,62,12,0
2060148028,2652,4266,1196.6,596,64,4
2030145001,2838.4,594.57,299.2,85,15,0
2060142024,11639,3859.32,2042.2,401,80,2
20601110019,4479.8,1057,965.88,168,24,8
2060111037,1446,1796.44,1344.92,249,28,2
20601110024,802.53,339.84,286,60,30,2
2060121006,991,890.59,520,117,82,0
2060141228,2446,956.06,570.27,276,52,1
20601110013,635.2,379.72,270.9,78,27,4
2060123003,1203,923.4,920,42,0,0
2060141194,4200,6638,3644,578,74,2
2060141137,87722,4323.44,1076,437,98,5
2060141174,480.1,740.2,411,104,16,0
2060143006,1006,991.32,440.58,60,27,0
2060123016,3130,1450.47,857.67,227,84,3
2060121025,10381.3,16305.44,8304.08,1196,200,12
2060147034,680,1419,643.35,216,28,3
20601110022,1497,2726.47,1860.36,255,49,3
2060122019,680,822.52,491.9,80,50,0
2060121010,6634,3650.93,1641.44,360,57,2
2060145039,4347,986.14,845.02,80,44,0
2060143036,802,2569.13,1701.96,130,70,2
2060123013,1048.4,1592.1,798.44,213,21,4
2060143030,616,546.56,515.26,80,40,0
2060146019,4221,2383,1980,494,110,5
2060111074,1012,2466.45,897.25,236,70,3
2060148003,11880,3481,1302,548,100,2
2060124013,1224,1722,937.07,156,39,4
2060141187,5435,6813,1854,480,91,1
2030122001,924,357,330,48,12,0
2060141262,8609,2887,1656,339,70,1
2060142037,436,854,711,173,25,0
2060123008,1598,1051.26,479.85,131,29,14
2060111078,18711,9499,2872,270,0,17
20601110009,893.5,364.43,364,83,22,11
2060123021,582.2,1905,1126,157,34,1
2060823013,839.9,1455.9,648,196,22,2
2060125028,5400,2308.82,1554.16,261,91,0
2060147033,2166.6,960.13,410.88,124,15,2
2060141184,2470,1082.57,591,262,30,0
2060111051,869.2,2339.93,1354.77,285,53,1
2060144034,3391.9,1157,724.03,89,68,2
2060141260,10628,2592,842,158,75,1
2060148024,8162,4943,1269,356,55,6
2060141055,9557,2071,1134,148,62,0
2060123020,1929,2092,1169,244,55,4
2060142002,2401,968,430,89,12,0
2060141191,1750,7642,3747.28,939,120,10
2060123012,1200,1982,852,450,70,3
2050149002,4397,1551,835,280,30,1
2060125020,3668,1983,1026,171,80,9
2060147032,2745,2031,1114,320,134,33
2060141207,497.4,546.78,500,133,20,0
2060124006,1888,1993,0,254,80,6
2060123015,1007,1668.73,606.61,147,44,2
2060124019,34505.3,3520.62,2241.7,356,90,3
2060823015,764.7,1347.68,865.42,148,80,1
2060145031,1430,2793,2439,451,64,17
2030122009,925,990,660,60,0,0
2060125012,3668,2724.57,1232.25,231,142,0
2060149007,3599,1501,1012,181,37,16
20601110018,519,598.98,216,47,20,0
2060141258,3449,548,365,62,26,1
2060124016,4798,1160.05,707.1,90,40,2
2060141113,1113.4,2184.77,988.96,231,36,1
2060141056,7320.9,3183.92,2460.5,200,67,4
2060144026,1197,1802.5,994.98,145,47,0
2060141133,5000,4245,1968,326,109,2
2060111036,3382,588,363,98,16,10
2060141244,1131,3228.71,1314.5,420,78,2
2060121014,1750.2,2016.98,1245.91,193,91,13
2060141085,4247,1321,1212,85,13,1
