도서관코드,시도,시군구,취약계층서비스이용수_합계,취약계층서비스이용수_장애인,취약계층서비스이용수_노인,취약계층서비스이용수_다문화,취약계층관련예산_합계,취약계층관련예산_장애인,취약계층관련예산_노인,취약계층관련예산_다문화,취약계층공간_장애인,취약계층공간_노인,취약계층공간_다문화,어린이실,어린이서비스_이용수,어린이자료_인쇄수
2030111007,대구,북구,34,24,10,0,730,330,400,0,미설치,자료실내 코너,미설치,유,1091,3218
2030111012,서울,종로구,6,6,0,0,0,0,0,0,자료실내 코너,미설치,자료실내 코너,유,955,1507
2060141162,경기,파주시,3026,52,2714,260,0,0,0,0,미설치,자료실내 코너,미설치,유,101918,29399
2060111000,서울,강서구,55958,6831,48686,441,49295,18188,23529,7578,자료실내 코너,자료실내 코너,미설치,유,55762,23538
2060111042,서울,중구,1182,5,1177,0,7074,3000,4074,0,자료실내 코너,자료실내 코너,자료실내 코너,유,2584,35778
2060125007,대전,서구,18790,2235,16396,159,4528,0,3568,960,자료실내 코너,자료실내 코너,미설치,유,58971,86359
2060141284,경기,구리시,4,4,0,0,4355,0,900,3455,자료실내 코너,자료실내 코너,자료실내 코너,유,16669,25498
2060111092,서울,양천구,4033,2,4031,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,15582,29257
2060123011,인천,부평구,2779,376,1936,467,3556,1420,2136,0,미설치,자료실내 코너,미설치,유,16923,16597
2060143024,충북,음성군,460,2,458,0,480,240,240,0,자료실내 코너,자료실내 코너,미설치,유,1338,13281
2060141023,경기,안산시,5259,876,4029,354,2558,2558,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,7346,50634
2060147006,경북,경주시,184,0,184,0,0,0,0,0,미설치,미설치,미설치,무,1479,21326
2060143026,충북,청주시,46,46,0,0,640,0,0,640,자료실내 코너,미설치,미설치,유,13226,51016
2060111067,서울,구로구,2428,13,2177,238,300,300,0,0,미설치,미설치,미설치,유,2827,12250
2060111018,서울,송파구,7506,1171,6335,0,3700,3700,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,24606,26351
2060823014,인천,서구,65,5,60,0,2489,2402,87,0,자료실내 코너,미설치,미설치,유,71147,35048
2060123028,인천,서구,1187,38,1149,0,4136,2512,1624,0,자료실내 코너,자료실내 코너,자료실내 코너,유,39966,23580
2060147038,경북,예천군,5777,211,5524,42,29322,0,29322,0,별도 자료실,자료실내 코너,자료실내 코너,유,4597,59963
2060144001,충남,계룡시,646,4,642,0,0,0,0,0,미설치,자료실내 코너,미설치,유,2272,35569
2060141130,경기,양주시,203,54,139,10,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,3976,32330
2060142020,강원,철원군,0,0,0,0,0,0,0,0,미설치,미설치,미설치,유,1536,17326
2060125023,대전,유성구,4375,429,3936,10,953,163,790,0,자료실내 코너,자료실내 코너,자료실내 코너,유,99655,19181
2060141282,경기,광주시,3510,1,3474,35,2305,0,2305,0,자료실내 코너,자료실내 코너,자료실내 코너,유,8234,16377
2060141034,경기,광명시,7105,80,6914,111,9666,7721,241,1704,자료실내 코너,자료실내 코너,자료실내 코너,유,52727,56917
2060141201,경기,양주시,358,32,326,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,3742,22111
2060121028,부산,기장군,2668,73,2543,52,7905,440,430,7035,자료실내 코너,미설치,미설치,유,25210,15289
2060141096,경기,파주시,3621,50,3348,223,11695,2955,8170,570,자료실내 코너,자료실내 코너,자료실내 코너,유,49485,58811
2060125022,대전,유성구,12537,174,12363,0,20,0,20,0,미설치,자료실내 코너,자료실내 코너,유,24903,31760
2060125011,대전,유성구,11463,294,11169,0,64,0,64,0,자료실내 코너,자료실내 코너,자료실내 코너,유,49714,50080
20601110046,서울,성북구,5494,39,5180,275,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,91586,13042
2060121019,부산,북구,2180,413,1194,573,11053,2080,5918,3055,자료실내 코너,자료실내 코너,자료실내 코너,유,38990,32365
2060141265,경기,여주시,782,2,780,0,1036,0,1036,0,미설치,자료실내 코너,자료실내 코너,유,15807,8287
2060121027,부산,금정구,6323,970,1064,4289,18037,4051,3986,10000,자료실내 코너,자료실내 코너,자료실내 코너,유,200687,39908
2060121008,부산,금정구,3596,969,2605,22,38377,9435,11029,17913,자료실내 코너,자료실내 코너,별도 자료실,유,50000,64315
2060121009,부산,기장군,2173,859,1262,52,19655,8979,10676,0,자료실내 코너,자료실내 코너,자료실내 코너,유,22630,25722
2060123018,인천,중구,636,156,330,150,800,300,300,200,자료실내 코너,자료실내 코너,자료실내 코너,유,13750,23784
2060121002,부산,남구,4343,1331,2057,955,37509,9584,19146,8779,자료실내 코너,자료실내 코너,자료실내 코너,유,28773,99930
2060142039,강원,홍천군,230,0,230,0,0,0,0,0,미설치,자료실내 코너,미설치,유,2854,10315
2060131014,울산,동구,35,15,20,0,0,0,0,0,미설치,미설치,미설치,유,553,15244
2060141217,경기,용인시,4999,1577,3300,122,5733,3911,1373,449,자료실내 코너,자료실내 코너,자료실내 코너,유,89891,35846
2060123022,인천,강화군,26,0,26,0,0,0,0,0,미설치,자료실내 코너,미설치,유,456,7094
2060148011,경남,창원시,3162,1001,2161,0,10950,2670,5338,2942,미설치,미설치,미설치,유,19274,53461
2060125019,대전,유성구,31011,396,30615,0,1220,0,1220,0,자료실내 코너,자료실내 코너,자료실내 코너,유,95031,44438
2060141179,경기,성남시,0,0,0,0,0,0,0,0,미설치,미설치,미설치,유,4227,9546
2060111013,서울,강남구,9359,2074,5918,1367,18706,3017,8309,7380,자료실내 코너,자료실내 코너,자료실내 코너,유,95053,25091
2060141203,경기,광주시,5664,1,5524,139,2610,0,2610,0,자료실내 코너,자료실내 코너,자료실내 코너,유,8703,39892
2060121013,부산,사하구,1010,94,816,100,22400,5000,5000,12400,자료실내 코너,자료실내 코너,별도 자료실,유,123158,46090
2060147037,경북,고령군,2220,12,2184,24,460,0,0,460,자료실내 코너,미설치,미설치,유,8820,14228
2060147007,경북,경주시,922,1,896,25,0,0,0,0,미설치,미설치,미설치,유,1323,20475
2060111033,서울,영등포구,4819,26,4247,546,23073,6498,5070,11505,자료실내 코너,자료실내 코너,자료실내 코너,유,40219,27833
2060141199,경기,안산시,96,6,90,0,3600,3600,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,1165,15279
2060141240,경기,여주시,1376,0,1376,0,10030,0,10030,0,자료실내 코너,자료실내 코너,미설치,유,7469,13401
2060111014,서울,강남구,25058,127,24893,38,7283,1120,4868,1295,자료실내 코너,자료실내 코너,자료실내 코너,유,41794,27222
2060141160,경기,양주시,138,60,0,78,7886,0,0,7886,자료실내 코너,미설치,자료실내 코너,유,9797,44638
2060141079,경기,양주시,8,8,0,0,0,0,0,0,미설치,미설치,미설치,유,8600,30308
2060121003,부산,동구,2258,170,2088,0,20300,5240,7736,7324,미설치,자료실내 코너,자료실내 코너,유,53246,50228
2050149004,제주,제주시,114,3,96,15,3112,0,1980,1132,자료실내 코너,자료실내 코너,자료실내 코너,유,668,28083
2060148008,경남,창원시,3586,1502,2034,50,10108,2548,2558,5002,자료실내 코너,자료실내 코너,자료실내 코너,유,48403,56660
2060123009,인천,계양구,1149,32,1104,13,4500,4500,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,43221,21452
2060141289,경기,용인시,1259,436,806,17,38932,14408,7712,16812,자료실내 코너,자료실내 코너,자료실내 코너,유,44840,17280
2060125014,대전,서구,5545,124,5132,289,7388,3500,2928,960,미설치,자료실내 코너,자료실내 코너,유,32458,72741
2060111077,서울,강서구,12887,1130,10601,1156,13025,3499,2328,7198,별도 자료실,별도 자료실,별도 자료실,유,208156,39869
2060121004,부산,북구,1759,339,541,879,14695,3120,3679,7896,자료실내 코너,자료실내 코너,미설치,유,90255,59610
2060141274,경기,광주시,2907,789,1980,138,4100,400,2700,1000,자료실내 코너,자료실내 코너,자료실내 코너,유,3784,11170
2030141007,경기,부천시,0,0,0,0,0,0,0,0,자료실내 코너,미설치,미설치,유,0,16192
2060121011,부산,수영구,1850,89,1595,166,2521,0,1424,1097,미설치,자료실내 코너,자료실내 코너,유,18935,39522
2060131011,울산,북구,3093,34,1758,1301,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,52455,23565
2060143008,충북,단양군,0,0,0,0,580,0,580,0,자료실내 코너,자료실내 코너,자료실내 코너,유,2225,9774
2060148028,경남,창원시,4561,1344,3217,0,8396,2256,6140,0,자료실내 코너,자료실내 코너,미설치,유,55854,45416
2030145001,전북,정읍시,4056,156,2600,1300,0,0,0,0,미설치,자료실내 코너,미설치,유,1759,9787
2060142024,강원,강릉시,1980,0,1639,341,4600,0,4600,0,자료실내 코너,자료실내 코너,자료실내 코너,유,7906,46592
20601110019,서울,강남구,7067,1010,5973,84,3690,110,2780,800,자료실내 코너,자료실내 코너,자료실내 코너,유,15463,36273
2060111037,서울,영등포구,863,6,840,17,10799,7127,3672,0,자료실내 코너,자료실내 코너,미설치,유,107016,29676
20601110024,서울,양천구,1521,70,1384,67,400,0,400,0,자료실내 코너,자료실내 코너,미설치,유,25553,10812
2060121006,부산,해운대구,2828,9,2810,9,4000,0,0,4000,미설치,자료실내 코너,미설치,유,29634,31057
2060141228,경기,안산시,997,24,908,65,0,0,0,0,자료실내 코너,미설치,미설치,유,2783,18636
20601110013,서울,서초구,743,63,680,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,31115,9406
2060123003,인천,옹진군,0,0,0,0,0,0,0,0,미설치,미설치,미설치,무,0,0
2060141194,경기,남양주시,8,8,0,0,0,0,0,0,미설치,미설치,미설치,유,120102,45029
2060141137,경기,용인시,5541,991,4438,112,4042,1869,1795,378,자료실내 코너,자료실내 코너,자료실내 코너,유,128300,69742
2060141174,경기,안산시,818,8,585,225,0,0,0,0,미설치,미설치,미설치,유,1127,15602
2060143006,충북,제천시,635,0,635,0,0,0,0,0,미설치,자료실내 코너,미설치,유,4313,2488
2060123016,인천,부평구,2209,96,1901,212,7113,4019,3094,0,자료실내 코너,자료실내 코너,미설치,유,91819,33680
2060121025,부산,사상구,28879,790,27733,356,18020,7900,4920,5200,별도 자료실,별도 자료실,별도 자료실,유,66557,49538
2060147034,경북,칠곡군,895,26,817,52,3000,0,3000,0,자료실내 코너,자료실내 코너,미설치,유,3532,39286
20601110022,서울,노원구,5084,4,5080,0,1700,0,1700,0,자료실내 코너,자료실내 코너,미설치,유,89031,19279
2060122019,대구,서구,1446,209,1198,39,5583,0,5583,0,미설치,자료실내 코너,자료실내 코너,유,7986,15080
2060121010,부산,사상구,4073,919,2922,232,18080,7710,4110,6260,자료실내 코너,자료실내 코너,자료실내 코너,유,12076,38884
2060145039,전북,군산시,183,0,179,4,1466,0,1466,0,미설치,자료실내 코너,미설치,유,7356,15235
2060143036,충북,제천시,34,0,34,0,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,22504,8922
2060123013,인천,부평구,8304,245,7959,100,5191,3991,1200,0,자료실내 코너,자료실내 코너,미설치,유,80122,30767
2060143030,충북,음성군,384,0,378,6,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,347,7101
2060146019,전남,영암군,3536,468,2340,728,13000,5000,0,8000,미설치,미설치,자료실내 코너,유,15010,45868
2060111074,서울,노원구,1693,91,1581,21,2000,0,2000,0,자료실내 코너,자료실내 코너,미설치,유,43547,39405
2060148003,경남,창원시,229,35,194,0,9088,2960,6128,0,별도 자료실,자료실내 코너,자료실내 코너,유,62070,72725
2060124013,광주,서구,3054,166,592,2296,8513,2289,1934,4290,자료실내 코너,자료실내 코너,자료실내 코너,유,2567,21968
2060141187,경기,용인시,7477,1683,5515,279,3432,2087,897,448,자료실내 코너,자료실내 코너,자료실내 코너,유,251382,60661
2030122001,대구,달서구,72,46,24,2,0,0,0,0,자료실내 코너,미설치,미설치,유,3757,18602
2060141262,경기,용인시,4222,974,2954,294,4130,2438,1250,442,자료실내 코너,자료실내 코너,자료실내 코너,유,201540,30007
2060142037,강원,홍천군,25,0,20,5,0,0,0,0,미설치,미설치,미설치,유,3656,10233
2060123008,인천,계양구,717,0,717,0,0,0,0,0,미설치,자료실내 코너,미설치,유,28617,20950
2060111078,서울,중구,42346,5473,25799,11074,174290,28906,50000,95384,별도 자료실,별도 자료실,별도 자료실,유,7279,41652
20601110009,서울,서초구,4459,337,4122,0,111,111,0,0,자료실내 코너,자료실내 코너,미설치,유,3566,5899
2060123021,인천,남동구,2786,626,2160,0,3753,2250,1503,0,미설치,자료실내 코너,미설치,유,25818,36171
2060823013,인천,서구,712,83,557,72,5869,1062,3207,1600,자료실내 코너,자료실내 코너,자료실내 코너,유,7370,33282
2060125028,대전,대덕구,562,14,547,1,3896,0,0,3896,미설치,미설치,미설치,유,8340,19234
2060147033,경북,칠곡군,592,0,576,16,2675,0,2675,0,자료실내 코너,자료실내 코너,미설치,유,4199,39192
2060141184,경기,안산시,466,241,189,36,0,0,0,0,미설치,미설치,미설치,유,5793,20282
2060111051,서울,영등포구,3509,86,3242,181,5779,5779,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,28347,31811
2060144034,전북,군산시,352,88,264,0,1257,600,595,62,자료실내 코너,자료실내 코너,미설치,유,6234,31882
2060141260,경기,용인시,7441,554,6670,217,5249,2070,1380,1799,자료실내 코너,자료실내 코너,자료실내 코너,유,221388,27446
2060148024,경남,창원시,9918,1278,3069,5571,20677,2959,6128,11590,별도 자료실,자료실내 코너,별도 자료실,유,39339,54388
2060141055,경기,여주시,3745,110,3525,110,2054,0,1804,250,자료실내 코너,자료실내 코너,미설치,유,8240,51939
2060123020,인천,남동구,7552,316,6611,625,9200,0,1500,7700,자료실내 코너,자료실내 코너,별도 자료실,유,5436,50522
2060142002,강원,춘천시,1472,185,1287,0,0,0,0,0,미설치,미설치,미설치,유,4334,17549
2060141191,경기,광명시,1034,120,840,74,5000,1880,1900,1220,자료실내 코너,자료실내 코너,자료실내 코너,유,90216,44052
2060123012,인천,동구,2186,2,2184,0,1876,1040,720,116,자료실내 코너,자료실내 코너,자료실내 코너,유,31843,40804
2050149002,제주,서귀포시,90,12,54,24,6793,3000,1521,2272,자료실내 코너,미설치,미설치,유,6160,34112
2060125020,대전,대덕구,2520,48,2471,1,6400,0,6400,0,별도 자료실,별도 자료실,미설치,유,18338,35657
2060147032,경북,경주시,758,20,735,3,3000,3000,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,39171,22591
2060141207,경기,안산시,256,7,216,33,0,0,0,0,자료실내 코너,자료실내 코너,미설치,유,3023,9955
2060124006,광주,광산구,0,0,0,0,0,0,0,0,자료실내 코너,자료실내 코너,자료실내 코너,유,0,26468
