시도,시군구,총인구,어린이인구,노인인구,장애인인구,다문화인구
서울,종로구,144486,"7,019",38028,5419,3250
서울,중구,126899,"5,324",33429,5081,3583
서울,용산구,203401,"11,225",50979,6594,5749
서울,성동구,274688,"15,664",69029,10565,5736
서울,광진구,345130,"18,576",80616,11703,7014
서울,동대문구,355789,"19,728",90640,15117,6787
서울,중랑구,375066,"20,691",112561,19725,7350
서울,성북구,429210,"28,293",108927,16769,6793
서울,강북구,280470,"14,472",92267,16519,5831
서울,도봉구,296997,"17,355",97753,14861,4819
서울,노원구,486446,"34,281",133881,25361,6344
서울,은평구,448142,"27,960",128418,20910,8775
서울,서대문구,316345,"19,181",78231,11597,6103
서울,마포구,358927,"22,316",79042,12137,6526
서울,양천구,417397,"37,097",109165,17194,7603
서울,강서구,543974,"35,141",143365,27469,10790
서울,구로구,418832,"25,386",109090,18630,20067
서울,금천구,243662,"11,184",64599,11545,11979
서울,영등포구,400799,"22,071",90732,14179,16917
서울,동작구,381172,"21,424",95843,13584,6553
서울,관악구,490493,"18,568",115773,19357,11026
서울,서초구,386254,"35,779",89340,9889,6795
서울,강남구,528194,"48,703",119185,15103,7879
서울,송파구,628648,"50,169",155245,19525,9687
서울,강동구,454023,"36,442",119487,18736,7635
부산,중구,39599,"1,163",15002,2538,737
부산,서구,103413,"5,980",37896,6433,1680
부산,동구,85665,"4,074",31706,5945,1806
부산,영도구,106825,"5,423",42882,8340,2013
부산,부산진구,356874,"21,750",108753,18628,4859
부산,동래구,265089,"23,750",79023,12154,2597
부산,남구,260090,"18,859",79167,12455,3575
부산,북구,265364,"18,572",87421,15910,4101
부산,해운대구,365974,"30,361",111772,17066,5264
부산,사하구,293036,"19,712",96159,17927,5819
부산,금정구,215539,"12,623",73181,11344,2838
부산,강서구,145762,"19,771",28371,4926,2580
부산,연제구,207871,"16,065",63591,10002,2303
부산,수영구,167787,"10,001",55388,8192,2497
부산,사상구,205140,"11,569",67074,13425,5081
부산,기장군,173228,"19,450",43168,8463,3123
대구,중구,94128,"7,477",22497,4161,1121
대구,동구,336051,"24,918",106025,20600,5188
대구,서구,164110,"8,463",60165,12138,4102
대구,남구,136118,"6,463",47989,9522,1979
대구,북구,422633,"32,920",109290,22635,6356
대구,수성구,398685,"39,671",107966,17999,3531
대구,달서구,533000,"42,357",144654,28275,8475
대구,달성군,263117,"28,532",59473,13158,6562
대구,군위군,21493,614,12443,2394,571
인천,중구,164937,"14,820",34818,6935,5883
인천,동구,57944,"3,572",20004,4539,1732
인천,연수구,417391,"45,111",79133,14092,8805
인천,남동구,492920,"39,390",128177,26984,14317
인천,부평구,504885,"34,796",132264,26812,20443
인천,계양구,278600,"17,634",77415,14887,6790
인천,서구,634066,"63,767",124623,26299,17809
인천,미추홀구,421789,"29,034",112925,23846,13398
인천,강화군,66309,"3,240",32164,5704,1502
인천,옹진군,19192,731,8414,1486,328
광주,동구,111289,"7,632",32360,5835,1304
광주,서구,278639,"22,864",70929,13309,3507
광주,남구,208707,"20,108",59280,11274,3097
광주,북구,433089,"35,786",111213,22059,7233
광주,광산구,412447,"42,340",70634,18040,11160
대전,동구,229875,"15,079",65092,14406,4874
대전,중구,220497,"16,195",68272,13866,4115
대전,서구,462226,"39,255",106419,20275,6370
대전,유성구,384024,"36,620",67554,12859,5392
대전,대덕구,170471,"11,021",49232,10690,4172
울산,중구,203766,"17,391",59482,10531,3845
울산,남구,305176,"24,865",75476,12826,4966
울산,동구,158268,"15,435",39278,7197,3826
울산,북구,215421,"24,966",40811,8720,4580
울산,울주군,224264,"17,917",59380,11525,5720
세종,세종시,390156,"52,281",62740,12561,6361
경기,수원시,1224979,"99,635",247221,44239,29728
경기,성남시,900867,"70,484",222485,35172,17569
경기,의정부시,456516,"35,598",119522,22406,9140
경기,안양시,545800,"41,935",138366,21278,9648
경기,부천시,794082,"56,014",207399,37316,31180
경기,광명시,272371,"23,042",68613,11888,5611
경기,평택시,615755,"56,784",117364,25543,22593
경기,동두천시,89466,"6,095",28423,6411,3297
경기,안산시,701551,"48,745",143945,32861,34267
경기,고양시,1044968,"84,517",260039,42400,19869
경기,과천시,81213,"8,934",18208,2292,993
경기,구리시,182102,"14,432",47446,8567,2976
경기,남양주시,718385,"69,503",174488,33234,13935
경기,오산시,254071,"25,236",42839,9446,10557
경기,시흥시,571982,"52,948",99604,22307,28487
경기,군포시,258110,"18,851",66530,11551,6684
경기,의왕시,151306,"11,896",40008,6352,2298
경기,하남시,320872,"34,525",70447,11965,5143
경기,용인시,1077481,"103,337",234515,37664,18914
경기,파주시,510689,"50,325",112370,22800,13221
경기,이천시,230189,"19,208",54197,10643,5928
경기,안성시,215739,"15,650",53712,11153,7051
경기,김포시,499536,"55,413",103428,18568,14753
경기,화성시,1004079,"113,611",151497,31978,27517
경기,광주시,402335,"35,179",96544,17660,11700
경기,양주시,293000,"27,254",66673,14691,8162
경기,포천시,157166,"8,287",48440,10239,6110
경기,여주시,117477,"7,749",39324,7471,3235
경기,연천군,40386,"2,388",16594,3232,1211
경기,가평군,60384,"3,360",24278,4893,2625
경기,양평군,121622,"8,097",48850,8116,2887
강원,춘천시,291783,"22,901",81361,15383,5204
강원,원주시,365720,"30,750",94736,19683,6856
강원,강릉시,212352,"14,250",70196,13200,3583
강원,동해시,85673,"7,015",28452,6572,1575
강원,태백시,37590,"2,611",15111,3958,859
강원,속초시,79758,"6,131",26396,4774,1602
강원,삼척시,62953,"3,673",23899,5138,1338
강원,홍천군,65719,"3,737",28622,4924,1940
강원,횡성군,45947,"2,277",21347,3638,1636
강원,영월군,35449,"1,874",16599,3247,884
강원,평창군,39016,"1,881",18004,2950,1129
강원,정선군,32503,"1,702",14849,3076,1149
강원,철원군,40069,"2,765",14614,2879,1105
강원,화천군,22278,"1,551",8222,1582,613
강원,양구군,20443,"1,553",7209,1372,682
강원,인제군,31167,"2,229",10645,1891,819
강원,고성군,27774,"1,412",11370,2135,649
강원,양양군,26687,"1,392",12057,2236,697
충북,충주시,215904,"15,440",66198,13286,5520
충북,제천시,130733,"8,945",45841,10211,3383
충북,청주시,873368,"78,017",198544,40590,16881
충북,보은군,29858,"1,515",15242,2986,1350
충북,옥천군,47416,"2,740",20891,4709,1918
충북,영동군,43730,"2,172",20377,4074,1529
충북,진천군,96544,"8,503",22597,4484,4271
충북,괴산군,37346,"1,412",18535,3397,1156
충북,음성군,106652,"6,228",30490,7128,4834
충북,단양군,26597,"1,221",13104,2558,774
충북,증평군,38180,"3,230",10589,2375,1360
충남,천안시,694765,"62,287",134400,27558,17676
충남,공주시,104393,"5,789",39253,8479,3516
충남,보령시,96182,"6,094",37202,8263,2790
충남,아산시,392509,"40,350",72190,16326,13031
충남,서산시,178586,"15,696",50940,10299,5465
충남,논산시,114692,"7,272",42170,9945,4279
충남,계룡시,45026,"5,122",9894,1753,661
충남,당진시,177715,"16,437",47962,10406,6546
충남,금산군,53212,"2,870",21921,4308,2322
충남,부여군,59930,"3,018",29175,6543,2345
충남,서천군,48575,"2,298",23969,5199,1353
충남,청양군,29818,"1,278",14578,2987,1242
충남,홍성군,102178,"8,318",33966,7073,2848
충남,예산군,79848,"4,412",33805,7130,2725
충남,태안군,60814,"3,047",27350,4999,1618
전북,전주시,649634,"58,200",160928,34721,10523
전북,군산시,265473,"22,108",77078,17355,6793
전북,익산시,272392,"20,126",83857,20213,7294
전북,정읍시,101887,"6,731",39829,9488,3800
전북,남원시,73781,"5,023",30043,7172,2728
전북,김제시,79692,"4,399",33695,8705,3032
전북,완주군,102877,"7,878",31689,8021,3421
전북,진안군,22855,"1,061",11489,2511,1110
전북,무주군,22904,"1,196",10605,2247,887
전북,장수군,19838,"1,100",9625,2136,1054
전북,임실군,24275,"1,132",12103,2798,1130
전북,순창군,25494,"1,525",11793,2679,1146
전북,고창군,51371,"2,854",23567,5080,2091
전북,부안군,46363,"2,569",21906,4669,1843
전남,목포시,214701,"19,308",60021,13931,4729
전남,여수시,265859,"21,379",82946,17068,5950
전남,순천시,271376,"25,023",72487,15466,5439
전남,나주시,118018,"10,342",34770,8138,3910
전남,광양시,150390,"14,264",36014,7701,4374
전남,담양군,43310,"2,302",18841,3763,1597
전남,곡성군,25990,"1,169",12589,2887,1052
전남,구례군,22724,"1,215",11261,2526,899
전남,고흥군,58776,"2,508",31558,6657,2180
전남,보성군,36033,"1,690",18650,3976,1404
전남,화순군,59174,"3,712",22669,5042,2241
전남,장흥군,33351,"1,883",15822,3403,1367
전남,강진군,31042,"1,721",14904,2944,1119
전남,해남군,62068,"3,636",27849,5891,2729
전남,영암군,60323,"3,491",19242,4332,3279
전남,무안군,92913,"9,811",23666,5803,2370
전남,함평군,29009,"1,303",14136,3392,1268
전남,영광군,50012,"3,250",19724,4656,1771
전남,장성군,40067,"2,494",16744,3583,1888
전남,완도군,48182,"2,991",19967,4091,1748
전남,진도군,29448,"1,607",12769,2868,1432
전남,신안군,35572,"1,575",17417,3689,1327
경북,포항시,493075,"41,924",149520,27709,8504
경북,경주시,258733,"17,146",86937,15995,6827
경북,김천시,136187,"10,343",47350,10298,3148
경북,안동시,153692,"10,789",54973,13162,3535
경북,구미시,407365,"41,600",79920,17434,7693
경북,영주시,99151,"6,626",39182,8209,2482
경북,영천시,99523,"5,251",40530,8133,2957
경북,상주시,92458,"5,355",41088,9175,3150
경북,문경시,65505,"3,921",29257,6306,2021
경북,경산시,298529,"20,773",74461,15717,5973
경북,의성군,47094,"1,532",26893,5704,1404
경북,청송군,23079,898,12391,2618,793
경북,영양군,15059,665,8003,1794,660
경북,영덕군,32655,"1,483",16872,3423,918
경북,청도군,39479,"1,479",21065,4039,1033
경북,고령군,30934,"1,328",13582,3062,1046
경북,성주군,41068,"1,617",19280,3855,1364
경북,칠곡군,110043,"9,475",28878,6597,3354
경북,예천군,53609,"4,695",21843,5058,1763
경북,봉화군,27972,"1,236",15050,3071,1083
경북,울진군,45274,"2,692",18494,3751,1019
경북,울릉군,8515,384,3387,496,110
경남,진주시,346145,"29,838",94743,17889,6845
경남,통영시,120204,"10,081",39739,7406,3157
경남,사천시,109218,"8,625",35311,7291,2759
경남,김해시,549861,"53,042",116548,25323,13214
경남,밀양시,102535,"5,788",43152,8532,2796
경남,거제시,241284,"26,895",51600,11267,6003
경남,양산시,359628,"35,880",87894,17332,8039
경남,창원시,1001043,"86,435",270410,50385,18367
경남,의령군,24609,"1,046",12537,2626,758
경남,함안군,61675,"4,256",22658,4822,2176
경남,창녕군,57766,"3,102",25914,5168,2045
경남,고성군,47664,"2,754",21554,4309,1537
경남,남해군,39011,"1,892",20231,3773,1002
경남,하동군,38704,"1,726",20037,3975,1238
경남,산청군,32480,"1,295",16845,3203,968
경남,함양군,35073,"1,915",17054,3476,1244
경남,거창군,58393,"4,125",23570,4848,1641
경남,합천군,38950,"1,526",21239,4246,1203
제주,제주시,493908,"48,684",115984,25432,13848
제주,서귀포시,180909,"16,545",53885,10911,5966
