시도,시군구,총인구,어린이인구,노인인구,장애인인구,다문화인구
대구,북구,2369335,246873,487531,130674,732
서울,종로구,9335444,807110,1791491,386316,4127
경기,파주시,13914479,1605204,2271730,587910,6307
서울,강서구,9335444,807110,1791491,386316,4127
서울,중구,9335444,807110,1791491,386316,4127
대전,서구,1467093,156617,258258,71344,483
경기,구리시,13914479,1605204,2271730,587910,6307
서울,양천구,9335444,807110,1791491,386316,4127
인천,부평구,3058033,336385,531576,152707,1329
충북,음성군,1646328,170338,343098,96694,701
경기,안산시,13914479,1605204,2271730,587910,6307
경북,경주시,2578999,247440,641256,177436,1003
충북,청주시,1646328,170338,343098,96694,701
서울,구로구,9335444,807110,1791491,386316,4127
서울,송파구,9335444,807110,1791491,386316,4127
인천,서구,3058033,336385,531576,152707,1329
경북,예천군,2578999,247440,641256,177436,1003
충남,계룡시,2238243,240354,466278,133136,1187
경기,양주시,13914479,1605204,2271730,587910,6307
강원,철원군,1522881,146190,375254,99542,548
대전,유성구,1467093,156617,258258,71344,483
경기,광주시,13914479,1605204,2271730,587910,6307
경기,광명시,13914479,1605204,2271730,587910,6307
부산,기장군,3257256,310485,767683,174256,927
서울,성북구,9335444,807110,1791491,386316,4127
부산,북구,3257256,310485,767683,174256,927
경기,여주시,13914479,1605204,2271730,587910,6307
부산,금정구,3257256,310485,767683,174256,927
인천,중구,3058033,336385,531576,152707,1329
부산,남구,3257256,310485,767683,174256,927
강원,홍천군,1522881,146190,375254,99542,548
울산,동구,1106895,129115,186158,51055,417
경기,용인시,13914479,1605204,2271730,587910,6307
인천,강화군,3058033,336385,531576,152707,1329
경남,창원시,3264243,354782,688244,187756,1181
경기,성남시,13914479,1605204,2271730,587910,6307
서울,강남구,9335444,807110,1791491,386316,4127
부산,사하구,3257256,310485,767683,174256,927
경북,고령군,2578999,247440,641256,177436,1003
서울,영등포구,9335444,807110,1791491,386316,4127
부산,동구,3257256,310485,767683,174256,927
제주,제주시,674817,83863,123898,36818,373
인천,계양구,3058033,336385,531576,152707,1329
경기,부천시,13914479,1605204,2271730,587910,6307
부산,수영구,3257256,310485,767683,174256,927
울산,북구,1106895,129115,186158,51055,417
충북,단양군,1646328,170338,343098,96694,701
전북,정읍시,1758836,173209,428718,128993,754
강원,강릉시,1522881,146190,375254,99542,548
부산,해운대구,3257256,310485,767683,174256,927
서울,서초구,9335444,807110,1791491,386316,4127
인천,옹진군,3058033,336385,531576,152707,1329
경기,남양주시,13914479,1605204,2271730,587910,6307
충북,제천시,1646328,170338,343098,96694,701
부산,사상구,3257256,310485,767683,174256,927
경북,칠곡군,2578999,247440,641256,177436,1003
서울,노원구,9335444,807110,1791491,386316,4127
대구,서구,2369335,246873,487531,130674,732
전북,군산시,1758836,173209,428718,128993,754
전남,영암군,1778338,178371,466874,134551,766
광주,서구,1444171,165842,250216,69175,447
대구,달서구,2369335,246873,487531,130674,732
인천,남동구,3058033,336385,531576,152707,1329
대전,대덕구,1467093,156617,258258,71344,483
강원,춘천시,1522881,146190,375254,99542,548
인천,동구,3058033,336385,531576,152707,1329
제주,서귀포시,674817,83863,123898,36818,373
광주,광산구,1444171,165842,250216,69175,447
광주,북구,1444171,165842,250216,69175,447
전북,전주시,1758836,173209,428718,128993,754
대구,달성군,2369335,246873,487531,130674,732
서울,동작구,9335444,807110,1791491,386316,4127
경기,오산시,13914479,1605204,2271730,587910,6307
경기,양평군,13914479,1605204,2271730,587910,6307
부산,연제구,3257256,310485,767683,174256,927
경기,연천군,13914479,1605204,2271730,587910,6307
부산,영도구,3257256,310485,767683,174256,927
인천,미추홀구,3058033,336385,531576,152707,1329
울산,남구,1106895,129115,186158,51055,417
울산,울주군,1106895,129115,186158,51055,417
강원,인제군,1522881,146190,375254,99542,548
경기,시흥시,13914479,1605204,2271730,587910,6307
